phase,lookback_n,max_width_pct,atr_mult,retest_max_bars,retest_band_pct,tp1_rr,require_strong_breakout,max_hold_1h,n,n_decided,wr_pct,e_r_before,e_r_after,h1_er,h2_er,h1_wr,h2_wr,q1_er,q2_er,q3_er,q4_er,q1_n,q2_n,q3_n,q4_n,concentration_pos_pct,concentration_abs_pct,top_quarter,cluster_n,cluster_trade_n,pass_er,pass_wr_better,pass_wf,pass_concentration,pass_dedup,pass_all,reject_reason
ofat,20,5,1,15,0.005,1.5,false,80,40,40,47.5000,0.187500,0.083646,0.092098,0.074305,47.6190,47.3684,-0.097589,0.264540,0.456964,-0.203992,10,11,8,11,55.6794,37.3587,3,0,0,true,false,true,false,true,false,"wr_not_above_baseline|concentration>50%_posQ"
ofat,20,5,1,20,0.005,1.5,false,80,40,40,47.5000,0.187500,0.083646,0.092098,0.074305,47.6190,47.3684,-0.097589,0.264540,0.456964,-0.203992,10,11,8,11,55.6794,37.3587,3,0,0,true,false,true,false,true,false,"wr_not_above_baseline|concentration>50%_posQ"
ofat,20,5,1,10,0.005,1.5,false,120,40,40,47.5000,0.187500,0.083646,0.092098,0.074305,47.6190,47.3684,-0.097589,0.264540,0.456964,-0.203992,10,11,8,11,55.6794,37.3587,3,0,0,true,false,true,false,true,false,"wr_not_above_baseline|concentration>50%_posQ"
combo,20,5,1,5,0.005,1.5,false,120,40,40,47.5000,0.187500,0.083646,0.092098,0.074305,47.6190,47.3684,-0.097589,0.264540,0.456964,-0.203992,10,11,8,11,55.6794,37.3587,3,0,0,true,false,true,false,true,false,"wr_not_above_baseline|concentration>50%_posQ"
ofat,20,5,1,10,0.005,1.5,false,60,40,38,47.3684,0.184211,0.077418,0.080531,0.074305,47.3684,47.3684,-0.172481,0.264540,0.456964,-0.203992,10,11,8,11,55.6794,35.8776,3,0,0,false,false,true,false,true,false,"er_below_baseline|wr_not_above_baseline|concentration>50%_posQ"
ofat,10,5,1,10,0.005,1.5,false,80,76,76,46.0526,0.151316,0.050937,-0.024102,0.143632,42.8571,50.0000,-0.441447,0.481105,0.465416,-0.142399,23,19,16,18,55.1072,34.6479,2,0,0,false,false,false,false,true,false,"er_below_baseline|wr_not_above_baseline|walk_forward_fail|concentration>50%_posQ"
ofat,20,5,2,10,0.005,1.5,false,80,40,37,45.9459,0.148649,0.078913,0.117653,0.038020,47.3684,44.4444,0.046204,0.181958,0.000898,0.061642,10,11,8,11,62.3194,62.3194,2,0,0,false,false,true,false,true,false,"er_below_baseline|wr_not_above_baseline|concentration>50%_posQ"
ofat,20,5,1,10,0.005,1.5,false,40,40,33,45.4545,0.136364,0.026160,0.006386,0.049890,44.4444,46.6667,-0.172481,0.149479,0.319093,-0.185662,10,11,8,11,59.9084,33.8761,3,0,0,false,false,true,false,true,false,"er_below_baseline|wr_not_above_baseline|concentration>50%_posQ"
ofat,15,5,1,10,0.005,1.5,false,80,51,51,45.0980,0.127451,0.027515,0.025151,0.030630,44.8276,45.4545,-0.378803,0.402176,0.496354,-0.435094,14,15,11,11,52.4918,27.9524,2,0,0,false,false,true,false,true,false,"er_below_baseline|wr_not_above_baseline|concentration>50%_posQ"
ofat,20,5,1.25,10,0.005,1.5,false,80,40,40,45.0000,0.125000,0.033234,-0.015879,0.087517,42.8571,47.3684,-0.335518,0.274701,0.470483,-0.191005,10,11,8,11,55.4686,30.7460,3,0,0,false,false,false,false,true,false,"er_below_baseline|wr_not_above_baseline|walk_forward_fail|concentration>50%_posQ"
ofat,20,5,0.75,10,0.005,1.5,false,80,40,40,45.0000,0.125000,0.004968,-0.041629,0.056470,42.8571,47.3684,-0.114093,0.024247,0.438136,-0.221106,10,11,8,11,92.9285,47.7214,3,0,0,false,false,false,false,true,false,"er_below_baseline|wr_not_above_baseline|walk_forward_fail|concentration>50%_posQ"
ofat,20,5,1,10,0.008,1.5,false,80,47,47,44.6809,0.117021,0.018787,0.101591,-0.060566,47.8261,41.6667,-0.047780,0.264540,0.404785,-0.392960,12,11,10,14,58.1773,42.2129,3,0,0,false,false,false,false,true,false,"er_below_baseline|wr_not_above_baseline|walk_forward_fail|concentration>50%_posQ"
ofat,20,5,1,10,0.01,1.5,false,80,50,49,42.8571,0.071429,-0.025394,0.053290,-0.100930,45.8333,40.0000,-0.125459,0.264540,0.404785,-0.438074,13,11,11,15,58.1773,43.3454,3,0,0,false,false,false,false,true,false,"er_below_baseline|wr_not_above_baseline|walk_forward_fail|concentration>50%_posQ"
ofat,20,5,1.5,10,0.005,1.5,false,80,40,40,42.5000,0.062500,-0.019835,-0.007183,-0.033818,42.8571,42.1053,-0.076251,0.055605,0.168247,-0.180774,10,11,8,11,68.7553,42.2310,3,0,0,false,false,false,false,true,false,"er_below_baseline|wr_not_above_baseline|walk_forward_fail|concentration>50%_posQ"
ofat,20,5,1,10,0.005,1.5,true,80,23,23,39.1304,-0.021739,-0.115485,-0.250678,0.031997,33.3333,45.4545,-0.245209,-0.256147,0.139472,-0.029417,6,6,4,7,100.0000,40.7451,3,0,0,false,false,false,false,true,false,"er_below_baseline|wr_not_above_baseline|walk_forward_fail|concentration>50%_posQ"
ofat,40,5,1,10,0.005,1.5,false,80,13,13,38.4615,-0.038462,-0.150264,-0.100045,-0.181650,40.0000,37.5000,0.128804,-0.252611,0.137987,-0.501287,2,3,4,4,68.1791,56.1267,3,0,0,false,false,false,false,true,false,"er_below_baseline|wr_not_above_baseline|walk_forward_fail|concentration>50%_posQ"
ofat,20,5,1,10,0.005,2,false,80,40,38,36.8421,0.105263,-0.001099,-0.155451,0.153253,31.5789,42.1053,-0.732937,0.264540,0.394464,-0.022174,10,11,8,11,52.0259,48.1678,3,0,0,false,false,false,false,true,false,"er_below_baseline|wr_not_above_baseline|walk_forward_fail|concentration>50%_posQ"
ofat,20,5,1,10,0.005,2.5,false,80,40,36,30.5556,0.069444,-0.038803,-0.326063,0.248456,22.2222,38.8889,-0.670437,-0.050563,0.388017,0.159645,10,11,8,11,60.7333,51.8646,3,0,0,false,false,false,false,true,false,"er_below_baseline|wr_not_above_baseline|walk_forward_fail|concentration>50%_posQ"
